filepath,emotion
/Users/priyanshuparashar/speech/dataset/CREMA-D/1007_IEO_SAD_MD.wav,sad
/Users/priyanshuparashar/speech/dataset/RAVDESS/Actor_17/03-01-07-01-02-01-17.wav,disgust
/Users/priyanshuparashar/speech/dataset/CREMA-D/1061_IEO_ANG_LO.wav,angry
/Users/priyanshuparashar/speech/dataset/TESS/OAF_Pleasant_surprise/OAF_came_ps.wav,surprise
/Users/priyanshuparashar/speech/dataset/CREMA-D/1002_MTI_SAD_XX.wav,sad
/Users/priyanshuparashar/speech/dataset/CREMA-D/1033_IWL_HAP_XX.wav,happy
/Users/priyanshuparashar/speech/dataset/RAVDESS/audio_speech_actors_01-24/Actor_21/03-01-08-01-02-02-21.wav,surprise
/Users/priyanshuparashar/speech/dataset/TESS/OAF_Pleasant_surprise/OAF_chain_ps.wav,surprise
/Users/priyanshuparashar/speech/dataset/CREMA-D/1059_IEO_FEA_MD.wav,fear
/Users/priyanshuparashar/speech/dataset/RAVDESS/audio_speech_actors_01-24/Actor_09/03-01-03-01-02-01-09.wav,happy
/Users/priyanshuparashar/speech/dataset/RAVDESS/audio_speech_actors_01-24/Actor_05/03-01-06-01-02-01-05.wav,fear
/Users/priyanshuparashar/speech/dataset/RAVDESS/Actor_09/03-01-06-01-02-01-09.wav,fear
/Users/priyanshuparashar/speech/dataset/RAVDESS/Actor_03/03-01-08-02-02-02-03.wav,surprise
/Users/priyanshuparashar/speech/dataset/CREMA-D/1049_WSI_FEA_XX.wav,fear
/Users/priyanshuparashar/speech/dataset/TESS/OAF_Pleasant_surprise/OAF_lid_ps.wav,surprise
/Users/priyanshuparashar/speech/dataset/TESS/OAF_Pleasant_surprise/OAF_seize_ps.wav,surprise
/Users/priyanshuparashar/speech/dataset/RAVDESS/Actor_21/03-01-02-01-01-02-21.wav,calm
/Users/priyanshuparashar/speech/dataset/TESS/YAF_fear/YAF_soup_fear.wav,fear
/Users/priyanshuparashar/speech/dataset/TESS/YAF_sad/YAF_goal_sad.wav,sad
/Users/priyanshuparashar/speech/dataset/CREMA-D/1014_IWL_HAP_XX.wav,happy
/Users/priyanshuparashar/speech/dataset/CREMA-D/1058_IWL_HAP_XX.wav,happy
/Users/priyanshuparashar/speech/dataset/RAVDESS/audio_speech_actors_01-24/Actor_19/03-01-06-01-01-01-19.wav,fear
/Users/priyanshuparashar/speech/dataset/TESS/OAF_happy/OAF_love_happy.wav,happy
/Users/priyanshuparashar/speech/dataset/RAVDESS/audio_speech_actors_01-24/Actor_12/03-01-03-02-01-01-12.wav,happy
/Users/priyanshuparashar/speech/dataset/CREMA-D/1068_ITH_SAD_XX.wav,sad
/Users/priyanshuparashar/speech/dataset/RAVDESS/Actor_24/03-01-03-01-02-02-24.wav,happy
/Users/priyanshuparashar/speech/dataset/TESS/OAF_disgust/OAF_keg_disgust.wav,disgust
/Users/priyanshuparashar/speech/dataset/RAVDESS/Actor_21/03-01-02-01-02-02-21.wav,calm
/Users/priyanshuparashar/speech/dataset/CREMA-D/1025_IWW_HAP_XX.wav,happy
/Users/priyanshuparashar/speech/dataset/RAVDESS/audio_speech_actors_01-24/Actor_12/03-01-03-02-02-02-12.wav,happy
/Users/priyanshuparashar/speech/dataset/RAVDESS/Actor_19/03-01-08-02-02-02-19.wav,surprise
/Users/priyanshuparashar/speech/dataset/RAVDESS/audio_speech_actors_01-24/Actor_10/03-01-08-01-01-02-10.wav,surprise
/Users/priyanshuparashar/speech/dataset/CREMA-D/1025_IEO_DIS_HI.wav,disgust
/Users/priyanshuparashar/speech/dataset/RAVDESS/audio_speech_actors_01-24/Actor_06/03-01-01-01-02-02-06.wav,neutral
/Users/priyanshuparashar/speech/dataset/CREMA-D/1046_IWW_HAP_XX.wav,happy
/Users/priyanshuparashar/speech/dataset/CREMA-D/1074_IEO_DIS_MD.wav,disgust
/Users/priyanshuparashar/speech/dataset/CREMA-D/1037_MTI_ANG_XX.wav,angry
/Users/priyanshuparashar/speech/dataset/CREMA-D/1070_TSI_ANG_XX.wav,angry
/Users/priyanshuparashar/speech/dataset/TESS/YAF_happy/YAF_tip_happy.wav,happy
/Users/priyanshuparashar/speech/dataset/CREMA-D/1029_IOM_NEU_XX.wav,neutral
/Users/priyanshuparashar/speech/dataset/CREMA-D/1056_TAI_ANG_XX.wav,angry
/Users/priyanshuparashar/speech/dataset/RAVDESS/audio_speech_actors_01-24/Actor_13/03-01-02-02-02-02-13.wav,calm
/Users/priyanshuparashar/speech/dataset/CREMA-D/1058_MTI_NEU_XX.wav,neutral
/Users/priyanshuparashar/speech/dataset/CREMA-D/1050_IEO_FEA_HI.wav,fear
/Users/priyanshuparashar/speech/dataset/RAVDESS/audio_speech_actors_01-24/Actor_12/03-01-02-02-01-01-12.wav,calm
/Users/priyanshuparashar/speech/dataset/CREMA-D/1056_TAI_SAD_XX.wav,sad
/Users/priyanshuparashar/speech/dataset/RAVDESS/Actor_12/03-01-02-02-02-02-12.wav,calm
/Users/priyanshuparashar/speech/dataset/CREMA-D/1013_IOM_ANG_XX.wav,angry
/Users/priyanshuparashar/speech/dataset/RAVDESS/audio_speech_actors_01-24/Actor_18/03-01-05-01-01-01-18.wav,angry
/Users/priyanshuparashar/speech/dataset/RAVDESS/Actor_04/03-01-07-01-02-01-04.wav,disgust
/Users/priyanshuparashar/speech/dataset/CREMA-D/1043_WSI_DIS_XX.wav,disgust
/Users/priyanshuparashar/speech/dataset/CREMA-D/1029_TIE_ANG_XX.wav,angry
/Users/priyanshuparashar/speech/dataset/CREMA-D/1091_MTI_FEA_XX.wav,fear
/Users/priyanshuparashar/speech/dataset/CREMA-D/1013_IOM_NEU_XX.wav,neutral
/Users/priyanshuparashar/speech/dataset/RAVDESS/Actor_03/03-01-08-02-02-01-03.wav,surprise
/Users/priyanshuparashar/speech/dataset/RAVDESS/audio_speech_actors_01-24/Actor_22/03-01-06-01-01-01-22.wav,fear
/Users/priyanshuparashar/speech/dataset/RAVDESS/Actor_22/03-01-01-01-01-02-22.wav,neutral
/Users/priyanshuparashar/speech/dataset/CREMA-D/1055_DFA_ANG_XX.wav,angry
/Users/priyanshuparashar/speech/dataset/RAVDESS/audio_speech_actors_01-24/Actor_18/03-01-05-01-01-02-18.wav,angry
/Users/priyanshuparashar/speech/dataset/RAVDESS/audio_speech_actors_01-24/Actor_01/03-01-08-01-01-01-01.wav,surprise
